SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 19, 2019	August 16, 2019	August 15, 2019	August 14, 2019	August 13, 2019
Chinese yuan		0.1034710000	0.1035610000	0.1036720000	0.1028040000
Euro		0.8074920000	0.8112720000	0.8133660000	0.8151440000
Japanese yen		0.0068680800	0.0068686700	0.0068352700	0.0068896900
U.K. pound		0.8865210000	0.8798840000	0.8795960000	0.8779030000
U.S. dollar		0.7290470000	0.7275980000	0.7269990000	0.7263800000
Algerian dinar		0.0060875400		0.0060835500	0.0060875000
Australian dollar		0.4950230000	0.4935300000	0.4934870000	0.4913230000
Botswana pula		0.0660517000	0.0657749000	0.0660115000	0.0656648000
Brazilian real		0.1825950000	0.1810760000	0.1814410000	0.1828290000
Brunei dollar		0.5255150000	0.5239800000	0.5250990000	0.5234420000
Canadian dollar		0.5487330000	0.5460400000	0.5461640000	0.5487910000
Chilean peso		0.0010266200		0.0010263000	0.0010135200
Colombian peso		0.0002114550	0.0002109430	0.0002133360	0.0002113870
Czech koruna		0.0313758000	0.0313471000	0.0314242000	0.0315557000
Danish krone			0.1087640000	0.1090180000	0.1092200000
Indian rupee		0.0102269000		0.0102255000	0.0101967000
Israeli New Shekel		0.2058870000	0.2067630000	0.2083690000	0.2079530000
Korean won		0.0006016730		0.0005964390	0.0005975490
Kuwaiti dinar			2.3949900000	2.3930200000	
Malaysian ringgit		0.1742880000	0.1735060000	0.1736530000	0.1732360000
Mauritian rupee		0.0202458000	0.0202449000	0.0202674000	0.0202673000
Mexican peso		0.0372592000	0.0370533000	0.0371367000	0.0373211000
New Zealand dollar		0.4689230000	0.4685730000	0.4689140000	0.4687330000
Norwegian krone		0.0810304000	0.0810098000	0.0813080000	0.0814510000
Omani rial		1.8960900000		1.8907600000	1.8891500000
Peruvian sol			0.2146310000		0.2152240000
Philippine peso		0.0138816000	0.0139400000	0.0139291000	0.0139955000
Polish zloty		0.1855980000		0.1869370000	0.1876270000
Qatari riyal		0.2002880000		0.1997250000	0.1995550000
Russian ruble		0.0110468000	0.0110425000	0.0111497000	0.0110726000
Saudi Arabian riyal					
Singapore dollar		0.5255150000	0.5239800000	0.5250990000	0.5234420000
South African rand		0.0479818000	0.0475450000	0.0475696000	0.0472218000
Swedish krona		0.0753794000	0.0756842000	0.0761718000	0.0757917000
Swiss franc		0.7436600000	0.7479800000	0.7475180000	0.7505480000
Thai baht		0.0235938000	0.0235881000	0.0235870000	0.0235853000
Trinidadian dollar			0.1073330000	0.1072680000	0.1072580000
U.A.E. dirham		0.1985150000		0.1979580000	
Uruguayan peso		0.0201400000	0.0201005000		0.0202458000

Currency units per SDR(3)

Currency	August 19, 2019	August 16, 2019	August 15, 2019	August 14, 2019	August 13, 2019
Chinese yuan		9.664540	9.656140	9.645810	9.727250
Euro		1.238400	1.232630	1.229460	1.226780
Japanese yen		145.601000	145.589000	146.300000	145.144000
U.K. pound		1.128000	1.136510	1.136890	1.139080
U.S. dollar		1.371650	1.374390	1.375520	1.376690
Algerian dinar		164.270000		164.378000	164.271000
Australian dollar		2.020110	2.026220	2.026400	2.035320
Botswana pula		15.139700	15.203400	15.148900	15.228900
Brazilian real		5.476600	5.522540	5.511430	5.469590
Brunei dollar		1.902900	1.908470	1.904400	1.910430
Canadian dollar		1.822380	1.831370	1.830950	1.822190
Chilean peso		974.070000		974.374000	986.660000
Colombian peso		4,729.140000	4,740.620000	4,687.440000	4,730.660000
Czech koruna		31.871700	31.900900	31.822600	31.690000
Danish krone			9.194220	9.172800	9.155830
Indian rupee		97.781300		97.794700	98.070900
Israeli New Shekel		4.857030	4.836460	4.799180	4.808780
Korean won		1,662.030000		1,676.620000	1,673.500000
Kuwaiti dinar			0.417538	0.417882	
Malaysian ringgit		5.737630	5.763490	5.758610	5.772470
Mauritian rupee		49.393000	49.395200	49.340300	49.340600
Mexican peso		26.839000	26.988100	26.927500	26.794500
New Zealand dollar		2.132550	2.134140	2.132590	2.133410
Norwegian krone		12.341000	12.344200	12.298900	12.277300
Omani rial		0.527401		0.528888	0.529339
Peruvian sol			4.659160		4.646320
Philippine peso		72.037800	71.736000	71.792100	71.451500
Polish zloty		5.387990		5.349400	5.329720
Qatari riyal		4.992810		5.006880	5.011150
Russian ruble		90.524000	90.559200	89.688500	90.313000
Saudi Arabian riyal					
Singapore dollar		1.902900	1.908470	1.904400	1.910430
South African rand		20.841200	21.032700	21.021800	21.176700
Swedish krona		13.266200	13.212800	13.128200	13.194100
Swiss franc		1.344700	1.336930	1.337760	1.332360
Thai baht		42.384000	42.394300	42.396200	42.399300
Trinidadian dollar			9.316800	9.322440	9.323310
U.A.E. dirham		5.037400		5.051580	
Uruguayan peso		49.652400	49.750000		49.393000


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
